Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-20 07:54:56.138,-.26 In.,Low Low,Good,Value Change,,
2025-12-20 07:24:55.094,-.34 In.,Low Low,Good,Value Change,,
2025-12-20 06:54:53.949,-.54 In.,Low Low,Good,Value Change,,
2025-12-20 06:24:52.906,-.55 In.,Low Low,Good,Value Change,,
2025-12-20 05:54:51.862,-.23 In.,Low Low,Good,Value Change,,
2025-12-20 05:24:50.718,-.48 In.,Low Low,Good,Value Change,,
2025-12-20 04:54:49.674,-.22 In.,Low Low,Good,Value Change,,
2025-12-20 03:54:47.487,-.32 In.,Low Low,Good,Value Change,,
2025-12-20 03:24:46.443,-.35 In.,Low Low,Good,Value Change,,
2025-12-20 02:54:45.399,-.31 In.,Low Low,Good,Value Change,,
2025-12-20 02:24:46.234,-.35 In.,Low Low,Good,Value Change,,
2025-12-20 01:24:44.147,-.29 In.,Low Low,Good,Value Change,,
2025-12-20 00:54:43.003,-.34 In.,Low Low,Good,Value Change,,
2025-12-20 00:24:41.959,-.25 In.,Low Low,Good,Value Change,,
2025-12-19 23:54:40.916,-.29 In.,Low Low,Good,Value Change,,
2025-12-19 23:24:39.772,-.34 In.,Low Low,Good,Value Change,,
2025-12-19 22:24:37.593,-.31 In.,Low Low,Good,Value Change,,
2025-12-19 21:54:36.550,-.22 In.,Low Low,Good,Value Change,,
2025-12-19 21:24:35.515,-.28 In.,Low Low,Good,Value Change,,
2025-12-19 20:54:34.374,-.57 In.,Low Low,Good,Value Change,,
2025-12-19 20:24:33.330,-.42 In.,Low Low,Good,Value Change,,
2025-12-19 19:54:32.286,-.38 In.,Low Low,Good,Value Change,,
2025-12-19 19:24:31.142,-.55 In.,Low Low,Good,Value Change,,
2025-12-19 18:54:30.098,-.57 In.,Low Low,Good,Value Change,,
2025-12-19 18:24:29.055,-.52 In.,Low Low,Good,Value Change,,
2025-12-19 17:54:27.910,-.54 In.,Low Low,Good,Value Change,,
2025-12-19 17:24:26.866,-.39 In.,Low Low,Good,Value Change,,
2025-12-19 16:54:25.822,-.52 In.,Low Low,Good,Value Change,,
2025-12-19 16:24:24.677,-.26 In.,Low Low,Good,Value Change,,
2025-12-19 15:54:23.635,-.45 In.,Low Low,Good,Value Change,,
2025-12-19 15:24:22.592,-.19 In.,Low Low,Good,Value Change,,
2025-12-19 14:54:21.447,-.29 In.,Low Low,Good,Value Change,,
2025-12-19 14:24:20.403,-.15 In.,Low Low,Good,Value Change,,
2025-12-19 13:54:19.360,-.22 In.,Low Low,Good,Value Change,,
2025-12-19 13:24:18.215,.19 In.,Normal,Good,Value Change,,
2025-12-19 12:54:17.171,-.07 In.,Low Low,Good,Value Change,,
2025-12-19 12:24:16.128,.26 In.,Normal,Good,Value Change,,
2025-12-19 11:54:14.983,-.17 In.,Low Low,Good,Value Change,,
2025-12-19 11:24:13.939,-.07 In.,Low Low,Good,Value Change,,
2025-12-19 10:54:12.804,.15 In.,Normal,Good,Value Change,,
2025-12-19 10:24:11.761,-.07 In.,Low Low,Good,Value Change,,
2025-12-19 09:54:10.717,-.32 In.,Low Low,Good,Value Change,,
2025-12-19 09:24:09.579,-.09 In.,Low Low,Good,Value Change,,
